event_id,true_group,is_G3,action,is_option_preserving,is_lineage_protective,is_infra_preserving,true_Q_before,true_Q_after,true_Y_before,true_Y_after,true_K_before,true_K_after,true_release_risk,true_ship_pressure,lineage_id,perturbation_label
57,G3,1,recommend_block,0,0,0,0.1344586411281253,0.10506408387103967,0.15543826066962138,0.13623076361388584,0.23548505279627377,0.2085250952128404,0.10718719598792582,0.05947166953195519,model_delta_L0_1,none
58,G1,0,enable_bypass_path,0,0,0,0.10506408387103967,0.07182555172259139,0.13623076361388584,0.1138388813941811,0.2085250952128404,0.16349189972753964,0.03607450740410313,0.11407377825513595,model_gamma_L0_0,none
59,G2,0,attribute_to_model_choice,0,0,0,0.07182555172259139,0.06243922620183475,0.1138388813941811,0.013440937601794963,0.16349189972753964,0.13807371665099824,0.052124422820384576,0.14626311875559492,model_alpha_L0_3,none
60,G1,0,route_to_standard_review,0,0,0,0.06243922620183475,0.06972698204020673,0.013440937601794963,0.0,0.13807371665099824,0.11375691683656933,0.010518961465065257,0.2052020338265162,model_gamma_L0_2,none
61,G2,0,recommend_persistent_memory_write,1,0,1,0.06972698204020673,0.08530787874152482,0.0,0.035930880610399944,0.11375691683656933,0.18221481695009153,0.09225237728823191,0.11872377375006223,model_gamma_L0_1,none
62,G1,0,approve_narrow_canary,0,1,0,0.08530787874152482,0.09416166893389835,0.035930880610399944,0.061225609773203786,0.18221481695009153,0.16066549137049307,0.09911193869621919,0.09482689278228469,model_beta_L0_0,none
63,G2,0,keep_narrow,1,1,0,0.09416166893389835,0.08135393372301508,0.061225609773203786,0.08763062856754289,0.16066549137049307,0.0989877955872297,0.08588429446525431,0.00733203162444751,model_delta_L0_0,none
64,G1,0,recommend_persistent_case_retention,1,0,1,0.08135393372301508,0.1184830726320986,0.08763062856754289,0.09076298290422828,0.0989877955872297,0.14684426143025958,0.10159749654026455,0.06569135042735669,model_beta_L0_0,none
65,G2,0,ignore_low_priority,0,0,0,0.1184830726320986,0.1099507467287591,0.09076298290422828,0.10395008877909946,0.14684426143025958,0.15357506492426198,0.1593800003866467,0.08423504836699182,model_delta_L0_0,high_audit_visibility
66,G1,0,link_to_prior_precedents,1,0,1,0.1099507467287591,0.1392554077623126,0.10395008877909946,0.12044989649046985,0.15357506492426198,0.19561452709354057,0.17679070314599407,0.07408780027856099,model_gamma_L0_0,none
67,G1,0,recommend_block,0,0,0,0.1392554077623126,0.1365952419999126,0.12044989649046985,0.09869865776007287,0.19561452709354057,0.16948802454835718,0.16466902670813863,0.03431466293151437,model_beta_L0_0,narrowed_permission_scope
68,G1,0,widen_rollout,0,0,0,0.1365952419999126,0.10813570409099307,0.09869865776007287,0.14480970385815972,0.16948802454835718,0.13498666876966764,0.14617313381792016,0.07330695988119829,model_alpha_L0_2,none
69,G3,1,recommend_persistent_case_retention,1,0,1,0.10813570409099307,0.1340512257681514,0.14480970385815972,0.1587707181737239,0.13498666876966764,0.22658910398477017,0.28930508117783366,0.05622593267702214,model_delta_L0_2,none
